model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.786,0.795,0.961,0.964,4,1.16,1.16,1,1,False,,0.1,0.0,0.2338,0.25,False,0,0,10,"['apple', 'keyboard', 'castle', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,71.58133190964416
resnet20,CIFAR100,256,0.734,0.707,0.95,0.941,4,1.16,1.16,1,1,False,,0.1,0.0,0.2327,0.25,False,0,1,10,"['apple', 'aquarium_fish', 'rose', 'bee', 'sweet_pepper', 'orange', 'orchid', 'pear', 'tulip', 'poppy']",12.526491388636506,3.7293041127812177
resnet20,CIFAR100,256,0.765,0.768,0.945,0.94,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'clock', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,68.57959139455657
resnet20,CIFAR100,256,0.574,0.568,0.883,0.884,4,1.16,1.16,1,1,False,,0.1,0.0,0.2386,0.25,False,0,1,10,"['flatfish', 'baby', 'woman', 'girl', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,1.5017699498445691
resnet20,CIFAR100,256,0.721,0.724,0.94,0.937,4,1.16,1.16,1,1,False,,0.1,0.0,0.2353,0.25,False,0,0,10,"['apple', 'ray', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,69.08046854290947
resnet20,CIFAR100,256,0.571,0.585,0.863,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.237,0.25,False,0,1,10,"['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,1.9507734809110828
resnet20,CIFAR100,256,0.741,0.742,0.947,0.944,4,1.16,1.16,1,1,False,,0.1,0.0,0.2323,0.25,False,0,0,10,"['apple', 'raccoon', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,67.7984839978027
resnet20,CIFAR100,256,0.486,0.485,0.754,0.75,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.5284303713018493
resnet20,CIFAR100,256,0.757,0.74,0.953,0.946,4,1.16,1.16,1,1,False,,0.1,0.0,0.2374,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pear', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,68.14852131553104
resnet20,CIFAR100,256,0.7,0.705,0.948,0.951,4,1.16,1.16,1,1,False,,0.1,0.0,0.2359,0.25,False,0,1,10,"['willow_tree', 'forest', 'road', 'maple_tree', 'mountain', 'oak_tree', 'cloud', 'palm_tree', 'pine_tree', 'plain']",7.623985980751646,2.4319248353150407
resnet20,CIFAR100,256,0.756,0.741,0.949,0.949,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'television', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,70.45986461284845
resnet20,CIFAR100,256,0.707,0.7,0.897,0.894,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.25,False,0,1,10,"['bed', 'keyboard', 'bicycle', 'lawn_mower', 'lamp', 'motorcycle', 'table', 'telephone', 'television', 'couch']",5.974990603181782,2.1672867817919714
resnet20,CIFAR100,256,0.746,0.717,0.956,0.95,4,1.16,1.16,1,1,False,,0.1,0.0,0.2321,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'tulip', 'plate', 'wardrobe']",192.25317582671377,71.11862199057887
