model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.573,0.57,0.561,0.865,0.858,0.857,4,1.16,1.16,1,1,False,,0.1,0.0,0.2337,0.2357,0.25,False,0,[1],10,"['boy', 'cup', 'sweet_pepper', 'house', 'bus', 'crocodile', 'forest', 'chimpanzee', 'aquarium_fish', 'turtle']",59.91125828035945,13.59911782679129
resnet20,CIFAR100,256,0.579,0.582,0.576,0.827,0.831,0.827,4,1.16,1.16,1,1,False,,0.1,0.0,0.24,0.2383,0.25,False,0,[1],10,"['cattle', 'mushroom', 'plain', 'girl', 'shrew', 'mountain', 'aquarium_fish', 'crocodile', 'ray', 'rabbit']",27.62785451740082,8.120747977051252
resnet20,CIFAR100,256,0.526,0.497,0.487,0.826,0.802,0.797,4,1.16,1.16,1,1,False,,0.1,0.0,0.2353,0.2336,0.25,False,0,[1],10,"['rose', 'chimpanzee', 'possum', 'bicycle', 'snake', 'mouse', 'otter', 'porcupine', 'plate', 'girl']",73.28709274905513,14.723939647880051
resnet20,CIFAR100,256,0.584,0.574,0.597,0.857,0.851,0.868,4,1.16,1.16,1,1,False,,0.1,0.0,0.2372,0.2359,0.25,False,0,[1],10,"['wolf', 'table', 'lion', 'mountain', 'woman', 'boy', 'ray', 'bear', 'bee', 'motorcycle']",37.21511713928328,11.196565872689206
resnet20,CIFAR100,256,0.655,0.663,0.65,0.864,0.863,0.858,4,1.16,1.16,1,1,False,,0.1,0.0,0.2366,0.2403,0.25,False,0,[1],10,"['can', 'aquarium_fish', 'shrew', 'raccoon', 'castle', 'man', 'apple', 'rabbit', 'skunk', 'road']",101.64165828671294,17.572549002963402
resnet20,CIFAR100,256,0.549,0.549,0.545,0.822,0.822,0.821,4,1.16,1.16,1,1,False,,0.1,0.0,0.2331,0.2333,0.25,False,0,[1],10,"['woman', 'caterpillar', 'snail', 'pear', 'snake', 'lamp', 'willow_tree', 'otter', 'apple', 'rabbit']",54.22856554895094,8.777849180695583
resnet20,CIFAR100,256,0.657,0.639,0.63,0.915,0.907,0.9,4,1.16,1.16,1,1,False,,0.1,0.0,0.2373,0.2389,0.25,False,0,[1],10,"['keyboard', 'maple_tree', 'train', 'leopard', 'girl', 'orchid', 'apple', 'flatfish', 'bowl', 'camel']",89.34421246877974,16.27102150802234
resnet20,CIFAR100,256,0.627,0.64,0.628,0.903,0.894,0.898,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.2406,0.25,False,0,[1],10,"['streetcar', 'television', 'willow_tree', 'tiger', 'porcupine', 'sweet_pepper', 'woman', 'tank', 'pear', 'lion']",53.98160716724929,17.14087295612816
resnet20,CIFAR100,256,0.658,0.687,0.684,0.927,0.926,0.927,4,1.16,1.16,1,1,False,,0.1,0.0,0.2379,0.2403,0.25,False,0,[1],10,"['spider', 'oak_tree', 'can', 'pear', 'orange', 'lawn_mower', 'bus', 'man', 'tractor', 'willow_tree']",157.78216292581618,29.447900627720895
resnet20,CIFAR100,256,0.629,0.641,0.633,0.84,0.84,0.838,4,1.16,1.16,1,1,False,,0.1,0.0,0.2385,0.2379,0.25,False,0,[1],10,"['porcupine', 'turtle', 'mushroom', 'chimpanzee', 'rocket', 'hamster', 'caterpillar', 'wolf', 'bottle', 'forest']",34.20759713624949,9.352954075429844
